epoch,accuracy,loss,val_accuracy,val_loss
0,0.7327219843864441,0.6001246571540833,0.7987927794456482,0.5005404949188232
1,0.7919928431510925,0.5166150331497192,0.7967807054519653,0.48486772179603577
2,0.7924401760101318,0.5044001340866089,0.7947686314582825,0.4780783951282501
3,0.7955714464187622,0.49717268347740173,0.7947686314582825,0.4708670675754547
4,0.7931111454963684,0.4887683391571045,0.7987927794456482,0.4697601795196533
5,0.7957951426506042,0.4873034954071045,0.8028169274330139,0.4671933650970459
6,0.7924401760101318,0.4848995804786682,0.7987927794456482,0.46242034435272217
7,0.7989264130592346,0.48185616731643677,0.7987927794456482,0.461887925863266
8,0.7955714464187622,0.47735127806663513,0.7947686314582825,0.46074551343917847
9,0.7960187792778015,0.48002251982688904,0.7967807054519653,0.46150150895118713
10,0.7971370816230774,0.4772855341434479,0.7967807054519653,0.45993179082870483
11,0.7946767807006836,0.4763515591621399,0.8028169274330139,0.45916855335235596
12,0.7964661121368408,0.47806403040885925,0.7967807054519653,0.45899081230163574
13,0.7960187792778015,0.4748888313770294,0.7987927794456482,0.4578411877155304
14,0.7951241135597229,0.4739855229854584,0.8028169274330139,0.46068301796913147
15,0.7944531440734863,0.4751351773738861,0.800804853439331,0.46192821860313416
16,0.791321873664856,0.46954238414764404,0.7967807054519653,0.4588042199611664
17,0.791321873664856,0.4729875922203064,0.7947686314582825,0.45710301399230957
18,0.7937821745872498,0.47337424755096436,0.8048290014266968,0.45847898721694946
19,0.7926638126373291,0.47000017762184143,0.8028169274330139,0.4601494073867798
20,0.7928875088691711,0.46601617336273193,0.7987927794456482,0.4561857581138611
21,0.7944531440734863,0.4688989222049713,0.8028169274330139,0.4557301104068756
22,0.7933348417282104,0.4698876440525055,0.7947686314582825,0.4573250710964203
23,0.7946767807006836,0.4669763147830963,0.8028169274330139,0.4579703211784363
24,0.7942295074462891,0.4676600694656372,0.8048290014266968,0.4576324224472046
25,0.7922164797782898,0.46857625246047974,0.8048290014266968,0.455776572227478
26,0.7904272079467773,0.4683554172515869,0.8028169274330139,0.4563729465007782
