epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.422569215297699,1.2406939268112183,0.45001569390296936,1.204254150390625
1,0.4494234323501587,1.2043752670288086,0.45760998129844666,1.191683053970337
2,0.45627838373184204,1.1941275596618652,0.46296778321266174,1.183907151222229
3,0.4604595899581909,1.186470627784729,0.46909359097480774,1.1746490001678467
4,0.4646696150302887,1.1791988611221313,0.47301968932151794,1.166886806488037
5,0.4683765470981598,1.1729599237442017,0.47667762637138367,1.1604658365249634
6,0.4716947078704834,1.1671411991119385,0.4809993803501129,1.1538500785827637
7,0.47469159960746765,1.1616487503051758,0.48468077182769775,1.1469755172729492
8,0.47816047072410583,1.1562694311141968,0.4886942207813263,1.141236662864685
9,0.4814734160900116,1.1508222818374634,0.49278128147125244,1.1335461139678955
10,0.4843725264072418,1.1455854177474976,0.4970863461494446,1.1269481182098389
11,0.48773735761642456,1.1403571367263794,0.5010896921157837,1.1206706762313843
12,0.4910830557346344,1.1347049474716187,0.5066922307014465,1.1122167110443115
13,0.49457859992980957,1.128921627998352,0.5116645693778992,1.1051422357559204
14,0.49757808446884155,1.124017596244812,0.5160030722618103,1.0978747606277466
15,0.5000797510147095,1.118531584739685,0.5195369720458984,1.090643048286438
16,0.5041764974594116,1.1125510931015015,0.5241203308105469,1.0821884870529175
17,0.5071817636489868,1.107598066329956,0.5281403064727783,1.0745056867599487
18,0.5096052885055542,1.1023926734924316,0.5311781167984009,1.0669161081314087
19,0.5124471783638,1.0975029468536377,0.5360230207443237,1.0594650506973267
20,0.5151892304420471,1.0928900241851807,0.5394227504730225,1.0522818565368652
21,0.5171180963516235,1.0880194902420044,0.5441368222236633,1.0451440811157227
22,0.5197187066078186,1.0834887027740479,0.5474158525466919,1.0381267070770264
23,0.5219904184341431,1.0786573886871338,0.5498233437538147,1.0332669019699097
24,0.5243452787399292,1.0746116638183594,0.5554526448249817,1.0255509614944458
25,0.5262523293495178,1.0707383155822754,0.5609079003334045,1.0182530879974365
26,0.528713047504425,1.066735029220581,0.5630335807800293,1.0119432210922241
27,0.5298922657966614,1.0632171630859375,0.5671641826629639,1.0048408508300781
28,0.5325867533683777,1.0585564374923706,0.5720828175544739,0.99909508228302
29,0.5341425538063049,1.055521845817566,0.5729310512542725,0.9941701292991638
30,0.5356780290603638,1.0518159866333008,0.5746443867683411,0.9892804026603699
31,0.5378325581550598,1.0483702421188354,0.5804650187492371,0.9820340871810913
