epoch,accuracy,loss,val_accuracy,val_loss
0,0.7418922185897827,0.5949785113334656,0.7967807054519653,0.5006406903266907
1,0.7931111454963684,0.5108906626701355,0.800804853439331,0.48512887954711914
2,0.7922164797782898,0.501655638217926,0.8028169274330139,0.48024287819862366
3,0.7969134449958801,0.4930335581302643,0.7947686314582825,0.4717540442943573
4,0.791321873664856,0.48829832673072815,0.7987927794456482,0.467413067817688
5,0.7960187792778015,0.48483631014823914,0.7947686314582825,0.4655740261077881
6,0.7962424755096436,0.48873141407966614,0.7987927794456482,0.4634508788585663
7,0.7942295074462891,0.4795342981815338,0.7987927794456482,0.46117103099823
8,0.7966898083686829,0.47699010372161865,0.8048290014266968,0.4620319902896881
9,0.7937821745872498,0.47941291332244873,0.8028169274330139,0.4607568085193634
10,0.7924401760101318,0.4835854172706604,0.7967807054519653,0.459947407245636
11,0.794005811214447,0.47736263275146484,0.8048290014266968,0.4597868025302887
12,0.7957951426506042,0.4739881753921509,0.800804853439331,0.45788586139678955
13,0.7906508445739746,0.47728121280670166,0.7967807054519653,0.4580008089542389
14,0.7951241135597229,0.477348655462265,0.7987927794456482,0.45659855008125305
15,0.7946767807006836,0.4772861897945404,0.800804853439331,0.4563218057155609
16,0.7910981774330139,0.4744155704975128,0.7987927794456482,0.45617085695266724
17,0.7933348417282104,0.4677954316139221,0.8028169274330139,0.45698830485343933
18,0.7928875088691711,0.4709591567516327,0.7987927794456482,0.45594435930252075
19,0.7960187792778015,0.4714507758617401,0.8048290014266968,0.45690250396728516
20,0.7933348417282104,0.4700050354003906,0.7987927794456482,0.45948633551597595
21,0.7951241135597229,0.46894723176956177,0.7967807054519653,0.45802628993988037
22,0.7957951426506042,0.46535244584083557,0.8048290014266968,0.4558430016040802
23,0.789756178855896,0.4690653383731842,0.7967807054519653,0.45817387104034424
24,0.7935584783554077,0.46741676330566406,0.800804853439331,0.45392045378685
25,0.7951241135597229,0.4651101231575012,0.7987927794456482,0.45492610335350037
26,0.7931111454963684,0.46667587757110596,0.7987927794456482,0.45485085248947144
27,0.7935584783554077,0.46570849418640137,0.8028169274330139,0.45472878217697144
28,0.7915455102920532,0.46456918120384216,0.7967807054519653,0.4573429524898529
29,0.7942295074462891,0.4647444784641266,0.8028169274330139,0.4541378915309906
